Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
6,,5928.505942,0,382,success,6,24,241
32,,4741.273689,0,333,success,2,25,241
22,,5743.169537,0,370,success,2,26,241
36,,1009.266962,0,486,success,6,27,241
34,,856.2950717,0,368,success,4,28,241
22,,1121.411663,0,395,success,2,29,241
21,,6114.544186,0,518,success,1,30,241
36,,6040.853839,0,314,success,6,31,241
35,,2965.95776,0,429,success,5,32,241
2,,6176.701373,0,466,success,2,33,241
21,,2890.499012,0,371,success,1,34,241
23,,5714.064339,0,466,success,3,35,241
25,,3146.460721,0,405,success,5,36,241
34,,5717.096938,0,295,success,4,37,241
5,,931.2758765,0,296,success,5,38,241
26,,1022.330006,0,423,success,6,39,241
32,,5322.336323,0,520,success,2,40,241
6,,0,0,402,success,6,41,241
33,,1076.217574,0,451,success,3,42,241
1,,3046.393962,0,399,success,1,43,241
34,,6190.809867,0,425,success,4,44,241
25,,4949.794117,0,468,success,5,45,241
5,,0,0,392,success,5,46,241
36,,3124.68092,0,342,success,6,47,241
86,,2042.995874,0,354,success,6,48,241
26,,6265.227966,0,350,success,6,49,241
33,,4978.564454,0,280,success,3,50,241
1,,0,0,305,success,1,51,241
5,,6157.367802,0,333,success,5,52,241
3,,6103.144132,0,413,success,3,53,241
2,,5980.859671,0,337,success,2,54,241
35,,6238.090062,0,440,success,5,55,241
25,,6234.816162,0,488,success,5,56,241
36,,5720.734304,0,604,success,6,57,241
2,,2997.45154,0,510,success,2,58,241
24,,6156.235039,0,486,success,4,59,241
21,,1020.363409,0,293,success,1,60,241
32,,3131.336129,0,467,success,2,61,241
5,,5992.64191,0,284,success,5,62,241
3,,6049.307961,0,81,success,3,63,241
26,,3035.771829,0,445,success,6,64,241
21,,6115.360904,0,355,success,1,65,241
32,,900.21971,0,448,success,2,66,241
33,,4847.905405,0,503,success,3,67,241
36,,6209.66116,0,492,success,6,68,241
35,,5861.245054,0,537,success,5,69,241
3,,977.5082917,0,558,success,3,70,241
23,,930.7780306,0,456,success,3,71,241
24,,5934.484909,0,539,success,4,72,241
24,,2979.957198,0,493,success,4,73,241
1,,5905.819061,0,420,success,1,74,241
4,,5711.039175,0,381,success,4,75,241
26,,5020.131393,0,438,success,6,76,241
3,,2996.398136,0,496,success,3,77,241
2,,5848.611236,0,518,success,2,78,241
22,,5892.279243,0,412,success,2,79,241
31,,4993.521648,0,504,success,1,80,241
22,,3115.860441,0,442,success,2,81,241
1,,5648.249243,0,449,success,1,82,241
33,,5264.181093,0,423,success,3,83,241
1,,6362.956363,0,448,success,1,84,241
