,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,understand,uniqueid,viewTime
38,,34.0,,,,,,6030.882578079946,0.0,,511.0,,,0.0,,171.0,,success,4,,,,9.0,,debug4SCYZG:debugFKESTJ,
39,,3.0,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,,failOutcome,3,,,,10.0,,debug4SCYZG:debugFKESTJ,
40,,23.0,,,,,,1975.6398727709602,0.0,,1366.0,,,0.0,,223.0,,success,3,,,,11.0,,debug4SCYZG:debugFKESTJ,
41,,1.0,,,,,,1927.9885620293182,0.0,,0.0,,,0.0,,0.0,,fail,1,,,,12.0,,debug4SCYZG:debugFKESTJ,
42,,33.0,,,,,,6082.193950270116,0.0,,1245.0,,,0.0,,213.0,,success,3,,,,13.0,,debug4SCYZG:debugFKESTJ,
43,,,,,,,,,,,,,,,,,postquestionnaire,,,begin,,,,,debug4SCYZG:debugFKESTJ,
44,4.0,,,,,,,,,,,,,,,,postquestionnaire,,,submit,,,,,debug4SCYZG:debugFKESTJ,
45,,,,,,5,,,,,,,,,,,,,,,,,,,debug4SCYZG:debugFKESTJ,
46,,,,,5,,,,,,,,,,,,,,,,,,,,debug4SCYZG:debugFKESTJ,
47,,,,,,,,,,,,,,,5,,,,,,,,,,debug4SCYZG:debugFKESTJ,
48,,,,4,,,,,,,,,,,,,,,,,,,,,debug4SCYZG:debugFKESTJ,
49,,,,,,,,,,4,,,,,,,,,,,,,,,debug4SCYZG:debugFKESTJ,
50,,,,,,,,,,,,,5,,,,,,,,,,,,debug4SCYZG:debugFKESTJ,
51,,,,,,,,,,,,,,,,,,,,,,,,5,debug4SCYZG:debugFKESTJ,
52,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,A191V7PT3DQKDP:36U2A8VAG1ZQDTII9L675T22C8NYKK,
53,,,NextPage,,,,,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,A191V7PT3DQKDP:36U2A8VAG1ZQDTII9L675T22C8NYKK,392212.0
54,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,A191V7PT3DQKDP:36U2A8VAG1ZQDTII9L675T22C8NYKK,55675.0
55,,,NextPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,A191V7PT3DQKDP:36U2A8VAG1ZQDTII9L675T22C8NYKK,64015.0
56,,,FinishInstructions,,,,,,,,,3.0,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,A191V7PT3DQKDP:36U2A8VAG1ZQDTII9L675T22C8NYKK,94153.0
57,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
58,,,NextPage,,,,,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,9743.0
59,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,25161.0
60,,,NextPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,64357.0
61,,,FinishInstructions,,,,,,,,,3.0,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,204850.0
62,,2.0,,,,,,1948.0378155351184,0.0,,550.0,,,0.0,,276.0,,success,2,,,,1.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
63,,5.0,,,,,,6052.886772207028,0.0,,695.0,,,0.0,,193.0,,success,5,,,,2.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
64,,32.0,,,,,,2067.619103040534,0.0,,768.0,,,0.0,,254.0,,success,2,,,,3.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
65,,35.0,,,,,,3925.7013509893777,0.0,,741.0,,,0.0,,184.0,,success,5,,,,4.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
66,,32.0,,,,,,4004.3829119608827,0.0,,587.0,,,0.0,,187.0,,success,2,,,,5.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
67,,1.0,,,,,,0.0,0.0,,0.0,,,0.0,,176.0,,success,1,,,,6.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
68,,2.0,,,,,,1956.2625756282105,0.0,,627.0,,,0.0,,155.0,,success,2,,,,7.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
69,,25.0,,,,,,5921.737912239737,0.0,,850.0,,,0.0,,209.0,,success,5,,,,8.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
70,,31.0,,,,,,4102.387575065945,0.0,,594.0,,,0.0,,225.0,,success,1,,,,9.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
71,,1.0,,,,,,0.0,0.0,,0.0,,,0.0,,164.0,,success,1,,,,10.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
72,,21.0,,,,,,6022.138242944133,0.0,,654.0,,,0.0,,239.0,,success,1,,,,11.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
73,,35.0,,,,,,2111.447346230209,578.0,,0.0,,,0.0,,0.0,,gamble,5,,,,12.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
74,,31.0,,,,,,2016.1121041039225,0.0,,507.0,,,0.0,,211.0,,success,1,,,,13.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
75,,5.0,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,,earlyFail,5,,,,14.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
76,,36.0,,,,,,2001.831566120709,655.0,,0.0,,,0.0,,0.0,,gamble,6,,,,15.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
77,,6.0,,,,,,0.0,0.0,,0.0,,,0.0,,203.0,,success,6,,,,16.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
78,,23.0,,,,,,1955.9568044667567,0.0,,1225.0,,,0.0,,167.0,,success,3,,,,17.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
79,,4.0,,,,,,0.0,0.0,,0.0,,,0.0,,194.0,,success,4,,,,18.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
80,,36.0,,,,,,6007.7250998897,616.0,,0.0,,,0.0,,0.0,,gamble,6,,,,19.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
81,,24.0,,,,,,5915.0972248106,0.0,,679.0,,,0.0,,236.0,,success,4,,,,20.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
82,,2.0,,,,,,6084.41225137117,0.0,,556.0,,,0.0,,272.0,,success,2,,,,21.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
83,,2.0,,,,,,0.0,0.0,,0.0,,,0.0,,236.0,,success,2,,,,22.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
84,,33.0,,,,,,3965.358987590786,0.0,,580.0,,,0.0,,283.0,,success,3,,,,23.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
85,,22.0,,,,,,4002.1597822724893,0.0,,1018.0,,,0.0,,326.0,,success,2,,,,24.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
86,,75.0,,,,,,6030.662240143105,604.0,,0.0,,,0.0,,0.0,,gamble,5,,,,25.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
87,,33.0,,,,,,3865.657999605048,0.0,,682.0,,,0.0,,242.0,,success,3,,,,26.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
88,,34.0,,,,,,5950.954489529028,648.0,,0.0,,,0.0,,0.0,,gamble,4,,,,27.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
89,,24.0,,,,,,4071.417059081462,0.0,,532.0,,,0.0,,219.0,,success,4,,,,28.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
90,,26.0,,,,,,2033.7822053597918,0.0,,770.0,,,0.0,,223.0,,success,6,,,,29.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
91,,24.0,,,,,,6112.598884190195,0.0,,578.0,,,0.0,,244.0,,success,4,,,,30.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
92,,4.0,,,,,,2036.8711169159765,0.0,,1098.0,,,0.0,,335.0,,success,4,,,,31.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
93,,32.0,,,,,,5916.138799315664,0.0,,520.0,,,0.0,,233.0,,success,2,,,,32.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
94,,2.0,,,,,,4107.862246102633,0.0,,577.0,,,0.0,,231.0,,success,2,,,,33.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
95,,31.0,,,,,,3998.893155425793,0.0,,1091.0,,,0.0,,367.0,,success,1,,,,34.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
96,,25.0,,,,,,3896.2981189356874,0.0,,931.0,,,0.0,,458.0,,success,5,,,,35.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
97,,36.0,,,,,,3956.2806288992933,589.0,,0.0,,,0.0,,0.0,,gamble,6,,,,36.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
98,,25.0,,,,,,5804.978393134942,0.0,,670.0,,,0.0,,327.0,,success,5,,,,37.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
99,,6.0,,,,,,6039.155477539348,587.0,,0.0,,,0.0,,0.0,,gamble,6,,,,38.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
100,,3.0,,,,,,0.0,0.0,,0.0,,,0.0,,248.0,,success,3,,,,39.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
101,,36.0,,,,,,1971.2832053978127,886.0,,0.0,,,0.0,,0.0,,gamble,6,,,,40.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
102,,34.0,,,,,,5992.427318002907,724.0,,0.0,,,0.0,,0.0,,gamble,4,,,,41.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
103,,36.0,,,,,,6106.822931945224,577.0,,0.0,,,0.0,,0.0,,gamble,6,,,,42.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
104,,1.0,,,,,,6024.338432853317,0.0,,656.0,,,0.0,,270.0,,success,1,,,,43.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
105,,4.0,,,,,,2226.1493976227516,0.0,,0.0,,,0.0,,0.0,,fail,4,,,,44.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
106,,5.0,,,,,,5950.359322038465,623.0,,0.0,,,0.0,,0.0,,gamble,5,,,,45.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
