Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
33,,956.8763650741,1397,0,gamble,3,22,64
3,,939.6149297547,0,441,success,3,23,64
5,,3103.2508580835,674,0,gamble,5,24,64
5,,1032.8127723653,649,0,gamble,5,25,64
2,,3958.7650939211,0,459,success,2,26,64
4,,0,0,603,success,4,27,64
31,,908.9470154818,1202,0,gamble,1,28,64
31,,4930.6114115333,757,0,gamble,1,29,64
2,,853.3232930995,2114,0,gamble,2,30,64
4,,2966.7861458882,1329,0,gamble,4,31,64
21,,5080.5007926788,965,0,gamble,1,32,64
5,,0,0,397,success,5,33,64
32,,981.7922074807,1013,0,gamble,2,34,64
34,,4763.7665586512,1465,0,gamble,4,35,64
1,,5176.5653020821,0,425,success,1,36,64
26,,2988.5516960475,1691,0,gamble,6,37,64
22,,2989.8074508792,1775,0,gamble,2,38,64
6,,5139.1916664863,974,0,gamble,6,39,64
3,,3091.4858094499,1335,0,gamble,3,40,64
21,,842.3369182201,0,434,success,1,41,64
24,,5046.6262542123,0,360,success,4,42,64
3,,5280.0109621664,930,0,gamble,3,43,64
3,,4950.5129083706,950,0,gamble,3,44,64
1,,965.4831788248,1489,0,gamble,1,45,64
35,,5216.7040463636,1191,0,gamble,5,46,64
6,,3029.4779751605,1056,0,gamble,6,47,64
31,,5214.5642086448,1196,0,gamble,1,48,64
1,,0,0,469,success,1,49,64
26,,4959.4166626437,0,402,success,6,50,64
2,,0,0,457,success,2,51,64
33,,2966.1145378775,1228,0,gamble,3,52,64
6,,904.7025133165,888,0,gamble,6,53,64
3,,0,0,383,success,3,54,64
3,,4876.8106389087,1225,0,gamble,3,55,64
3,,938.5877503343,716,0,gamble,3,56,64
6,,0,0,363,success,6,57,64
24,,4544.6650904398,926,0,gamble,4,58,64
36,,5354.7801296978,989,0,gamble,6,59,64
22,,5135.8972339319,0,424,success,2,60,64
32,,4896.6814345477,921,0,gamble,2,61,64
25,,4940.5775121653,0,451,success,5,62,64
1,,0,0,395,success,1,63,64
33,,5159.1893199599,1380,0,gamble,3,64,64
4,,5305.903797698,1058,0,gamble,4,65,64
35,,4738.9028628525,1392,0,gamble,5,66,64
1,,2918.2785845131,1655,0,gamble,1,67,64
32,,3049.8098285417,1087,0,gamble,2,68,64
24,,937.8411282839,1074,0,gamble,4,69,64
23,,4748.6039824534,0,448,success,3,70,64
22,,5318.6938464881,0,512,success,2,71,64
21,,2959.2981053193,0,385,success,1,72,64
23,,5034.8003345242,0,515,success,3,73,64
5,,959.1592975044,1339,0,gamble,5,74,64
36,,1039.3612389625,1050,0,gamble,6,75,64
4,,4989.3456703064,1108,0,gamble,4,76,64
23,,5392.1160794939,0,477,success,3,77,64
5,,5153.4692097621,978,0,gamble,5,78,64
36,,4957.1532936749,822,0,gamble,6,79,64
6,,4886.4163819781,1178,0,gamble,6,80,64
4,,4642.5028266497,717,0,gamble,4,81,64
35,,1043.0830888199,1035,0,gamble,5,82,64
26,,929.4497003989,1267,0,gamble,6,83,64
75,,1807.6526323523,1367,0,gamble,5,84,64
23,,982.2790082006,0,357,success,3,85,64
1,,2980.5891855031,0,382,success,1,86,64
4,,0,0,415,success,4,87,64
6,,0,0,424,success,6,88,64
1,,973.9265554227,0,409,success,1,89,64
6,,5149.9825710254,869,0,gamble,6,90,64
22,,4741.1662572269,0,382,success,2,91,64
5,,3014.7913396007,1203,0,gamble,5,92,64
2,,4811.5758125717,0,545,success,2,93,64
2,,4936.5471455812,0,425,success,2,94,64
22,,1016.0340364973,0,459,success,2,95,64
5,,5273.0391896514,970,0,gamble,5,96,64
2,,5321.4295927977,0,463,success,2,97,64
23,,3121.5571107979,0,445,success,3,98,64
34,,5290.2780797168,1083,0,gamble,4,99,64
34,,1000.346232851,1064,0,gamble,4,100,64
25,,3057.1027825341,0,463,success,5,101,64
36,,4733.1404281782,994,0,gamble,6,102,64
3,,3093.4581247894,1141,0,gamble,3,103,64
6,,3068.2668066708,1056,0,gamble,6,104,64
35,,5028.6850754891,1254,0,gamble,5,105,64
24,,3077.377875384,0,457,success,4,106,64
24,,4930.9844421634,0,505,success,4,107,64
35,,2939.8405465514,928,0,gamble,5,108,64
2,,5075.9486487607,0,404,success,2,109,64
33,,4804.4058340521,0,435,success,3,110,64
21,,5276.1269626796,0,331,success,1,111,64
5,,5245.544361714,991,0,gamble,5,112,64
4,,5054.3259037639,0,528,success,4,113,64
2,,0,0,0,fail,2,114,64
86,,1964.1965120159,0,376,success,6,115,64
3,,4624.4863737235,0,409,success,3,116,64
1,,5158.7770297816,0,494,success,1,117,64
31,,4794.8776169308,0,506,success,1,118,64
4,,1037.5108536206,1310,0,gamble,4,119,64
34,,4946.8344229172,1006,0,gamble,4,120,64
25,,993.3593438313,0,417,success,5,121,64
26,,5195.6088337422,0,496,success,6,122,64
33,1632195,4971.0887009741,800,0,gamble,3,123,64
34,,5064.2045630357,0,53,success,4,1,65
23,,3036.9342925505,0,159,success,3,2,65
33,,4617.0719098276,0,148,success,3,3,65
6,,0,0,184,success,6,4,65
35,,2989.0505284961,0,165,success,5,5,65
26,,5043.618440005,0,128,success,6,6,65
6,,2965.0929485057,0,157,success,6,7,65
34,,5299.8239890757,0,147,success,4,8,65
22,,1027.9666666774,0,138,success,2,9,65
36,,1010.2039515035,0,37,success,6,10,65
25,,5292.703774248,0,235,success,5,11,65
35,,5483.7201119306,0,48,success,5,12,65
6,,5036.7646313628,0,131,success,6,13,65
23,,5383.8507476301,0,106,success,3,14,65
35,,4789.8104454524,0,133,success,5,15,65
22,,3138.4870516222,0,82,success,2,16,65
34,,1098.6035269291,0,127,success,4,17,65
3,,0,0,187,success,3,18,65
31,,4777.6874796679,0,155,success,1,19,65
5,,4977.2247323845,0,137,success,5,20,65
32,,5023.4244210333,0,121,success,2,21,65
2,,928.5689367407,0,157,success,2,22,65
2,,4726.5542670659,0,74,success,2,23,65
1,,1077.4642921764,0,0,earlyFail,1,24,65
5,,4762.1941660659,0,123,success,5,25,65
1,,5327.0888644039,0,172,success,1,26,65
3,,4919.8723355893,0,74,success,3,27,65
5,,0,0,143,success,5,28,65
32,,4746.3187025872,0,113,success,2,29,65
5,,5002.8959429133,0,52,success,5,30,65
2,,4985.4500938415,0,132,success,2,31,65
4,,0,0,128,success,4,32,65
35,,1099.7658273829,0,110,success,5,33,65
22,,4923.7274645371,0,73,success,2,34,65
3,,1069.343678619,0,126,success,3,35,65
24,,1173.2753526731,0,182,success,4,36,65
1,,5055.8400570271,0,193,success,1,37,65
21,,4728.6350430899,0,0,earlyFail,1,38,65
1,,0,0,63,success,1,39,65
36,,4949.4209389363,0,0,earlyFail,6,40,65
3,,4844.2658494597,0,38,success,3,41,65
4,,5100.1419081854,0,145,success,4,42,65
25,,4710.3639341337,0,182,success,5,43,65
6,,1031.6438343939,0,151,success,6,44,65
3,,2961.02366272,0,0,earlyFail,3,45,65
24,,5291.514969556,0,208,success,4,46,65
5,,0,0,207,success,5,47,65
1,,5028.5393789555,0,155,success,1,48,65
2,,5295.6440442144,0,34,success,2,49,65
2,,3048.1946461069,0,166,success,2,50,65
36,,5133.4514333427,0,154,success,6,51,65
1,,0,0,199,success,1,52,65
34,,2976.2036005378,0,99,success,4,53,65
26,,996.9754308654,0,134,success,6,54,65
36,,3173.4567892977,0,205,success,6,55,65
33,,5202.12477233,0,143,success,3,56,65
5,,994.2337949291,0,171,success,5,57,65
2,,4960.2859588715,0,219,success,2,58,65
2,,0,0,127,success,2,59,65
26,,5292.1502576479,0,239,success,6,60,65
23,,877.8561415273,0,112,success,3,61,65
3,,2786.0406100606,0,216,success,3,62,65
1,,4746.3924102228,0,142,success,1,63,65
4,,2874.9539981912,0,0,earlyFail,4,64,65
21,,2968.1144577894,0,309,success,1,65,65
24,,2843.8256778638,0,175,success,4,66,65
6,,5090.2931514621,0,195,success,6,67,65
36,,5234.4544913584,0,208,success,6,68,65
24,,4795.5971295672,0,140,success,4,69,65
5,,2940.1520808255,1589,0,gamble,5,70,65
31,,2973.268955216,1505,0,gamble,1,71,65
6,,0,0,224,success,6,72,65
3,,0,0,211,success,3,73,65
1,,1075.1008218381,0,75,success,1,74,65
6,,4730.733066109,1041,0,gamble,6,75,65
2,,3855.1876627633,1189,0,gamble,2,76,65
1,,3026.4979979179,1378,0,gamble,1,77,65
23,,4719.4419973388,1007,0,gamble,3,78,65
4,,3083.6146961558,1083,0,gamble,4,79,65
75,,2005.1176212041,1406,0,gamble,5,80,65
2,,3090.2311763064,1004,0,gamble,2,81,65
21,,5148.9408980867,0,103,success,1,82,65
32,,3036.3507531436,1339,0,gamble,2,83,65
3,,936.6859359148,992,0,gamble,3,84,65
4,,4623.2933139658,1292,0,gamble,4,85,65
25,,1006.7543793723,1508,0,gamble,5,86,65
6,,5229.3771615973,1092,0,gamble,6,87,65
6,,1115.0971334046,1362,0,gamble,6,88,65
3,,4992.5534471896,1056,0,gamble,3,89,65
4,,916.1277369806,1907,0,gamble,4,90,65
33,,2920.3244807775,0,0,earlyFail,3,91,65
21,,4967.7440003807,914,0,gamble,1,92,65
31,,5000.2019642556,1996,0,gamble,1,93,65
22,,4825.9913525441,797,0,gamble,2,94,65
25,,3122.3813419457,1304,0,gamble,5,95,65
86,,2039.6081790024,0,98,success,6,96,65
4,,4964.6327397914,1432,0,gamble,4,97,65
22,,5213.2061413985,1153,0,gamble,2,98,65
33,,972.9702697583,1205,0,gamble,3,99,65
26,,3133.8947704105,920,0,gamble,6,100,65
24,,4736.8203551065,978,0,gamble,4,101,65
5,,3049.4902539776,0,208,success,5,102,65
5,,4951.9962377517,834,0,gamble,5,103,65
31,,5349.6754226115,1049,0,gamble,1,104,65
5,,1087.4320340615,1441,0,gamble,5,105,65
4,,0,0,128,success,4,106,65
4,,1086.2340214912,1053,0,gamble,4,107,65
1,,2921.8284072746,1264,0,gamble,1,108,65
2,,947.7238321674,2111,0,gamble,2,109,65
32,,913.3389666534,1143,0,gamble,2,110,65
33,,5116.5300538734,810,0,gamble,3,111,65
23,,4974.5244986664,790,0,gamble,3,112,65
26,,4821.8389327674,686,0,gamble,6,113,65
25,,5024.4564407156,802,0,gamble,5,114,65
35,,4998.1956876796,757,0,gamble,5,115,65
6,,3012.2485451915,671,0,gamble,6,116,65
3,,5281.0564324386,853,0,gamble,3,117,65
31,,1020.4339874303,0,0,earlyFail,1,118,65
21,,821.6719927861,0,128,success,1,119,65
32,,5213.4869295042,863,0,gamble,2,120,65
34,,4888.7814202476,647,0,gamble,4,121,65
2,,0,0,169,success,2,122,65
4,2160826,4894.9503631835,985,0,gamble,4,123,65
5,,919.5879870477,0,377,success,5,1,66
4,,4564.9104302596,1382,0,gamble,4,2,66
25,,4669.3875514533,0,0,earlyFail,5,3,66
21,,2974.6223780738,0,200,success,1,4,66
5,,0,0,418,success,5,5,66
24,,4884.3762001989,0,300,success,4,6,66
75,,1941.6061721022,0,380,success,5,7,66
5,,5049.5447418913,1165,0,gamble,5,8,66
3,,1168.5818893436,1929,0,gamble,3,9,66
22,,3128.4508588211,2224,0,gamble,2,10,66
5,,2867.9682145,0,0,earlyFail,5,11,66
25,,4891.7084680781,881,0,gamble,5,12,66
22,,4707.3003912545,0,253,success,2,13,66
6,,0,0,359,success,6,14,66
32,,3056.8830241903,1738,0,gamble,2,15,66
33,,4665.270280189,1295,0,gamble,3,16,66
6,,0,0,459,success,6,17,66
6,,4960.4828263773,1220,0,gamble,6,18,66
1,,0,0,427,success,1,19,66
36,,5345.3708848093,1592,0,gamble,6,20,66
5,,5168.0134229201,1173,0,gamble,5,21,66
32,,5340.9334075614,1192,0,gamble,2,22,66
3,,5058.8543915559,925,0,gamble,3,23,66
35,,1082.2490215388,0,0,earlyFail,5,24,66
24,,5119.5862381162,1293,0,gamble,4,25,66
26,,954.0298513884,1855,0,gamble,6,26,66
21,,4905.3207315827,1187,0,gamble,1,27,66
2,,1027.0140139144,1579,0,gamble,2,28,66
1,,3094.9284951879,1404,0,gamble,1,29,66
23,,4700.9198026646,1596,0,gamble,3,30,66
3,,0,0,526,success,3,31,66
32,,4745.4537944188,1274,0,gamble,2,32,66
2,,4015.6598297263,1374,0,gamble,2,33,66
4,,5374.3868692498,1162,0,gamble,4,34,66
32,,1053.5007215214,1601,0,gamble,2,35,66
3,,3181.3340322872,909,0,gamble,3,36,66
1,,3058.1679866159,1558,0,gamble,1,37,66
5,,4678.1265475396,1030,0,gamble,5,38,66
2,,5115.6588018897,1675,0,gamble,2,39,66
26,,2985.0278088685,0,397,success,6,40,66
3,,2950.1510403908,1166,0,gamble,3,41,66
2,,4607.4947271995,2060,0,gamble,2,42,66
31,,3064.4207336801,1131,0,gamble,1,43,66
4,,2994.4588503063,805,0,gamble,4,44,66
1,,4920.9633791733,1312,0,gamble,1,45,66
1,,0,0,478,success,1,46,66
6,,5146.5948622968,1099,0,gamble,6,47,66
25,,1013.8348077114,1682,0,gamble,5,48,66
86,,2083.799056305,990,0,gamble,6,49,66
22,,5064.5824890546,905,0,gamble,2,50,66
4,,2978.7643628846,1260,0,gamble,4,51,66
33,,5387.4413663338,1278,0,gamble,3,52,66
3,,4953.2005592456,1285,0,gamble,3,53,66
1,,4728.8545824518,0,486,success,1,54,66
1,,4991.7428620155,0,465,success,1,55,66
1,,1105.5086365506,0,478,success,1,56,66
4,,1063.7547049978,1154,0,gamble,4,57,66
31,,5284.4049860716,1613,0,gamble,1,58,66
26,,4658.0261851072,929,0,gamble,6,59,66
4,,0,0,404,success,4,60,66
21,,4816.4512501587,1328,0,gamble,1,61,66
35,,3142.5380445429,1149,0,gamble,5,62,66
2,,3076.7709051011,1384,0,gamble,2,63,66
23,,1028.8209973409,1411,0,gamble,3,64,66
24,,1047.6009464841,1111,0,gamble,4,65,66
26,,4982.2722593963,0,0,earlyFail,6,66,66
6,,965.3896880322,2155,0,gamble,6,67,66
36,,912.6710418469,2071,0,gamble,6,68,66
35,,5161.72242023,1070,0,gamble,5,69,66
3,,0,0,392,success,3,70,66
36,,4713.9655175542,977,0,gamble,6,71,66
33,,4955.7507083374,954,0,gamble,3,72,66
4,,4966.4319546599,922,0,gamble,4,73,66
3,,5325.1256863558,930,0,gamble,3,74,66
33,,1156.6215984026,912,0,gamble,3,75,66
26,,5180.9866720933,1272,0,gamble,6,76,66
6,,2860.8420564806,1410,0,gamble,6,77,66
25,,3028.708475808,926,0,gamble,5,78,66
6,,4597.0303692236,926,0,gamble,6,79,66
22,,956.6475652738,1065,0,gamble,2,80,66
5,,1059.9802946494,0,0,earlyFail,5,81,66
34,,1064.5033228794,1217,0,gamble,4,82,66
3,,1001.30604401,1882,0,gamble,3,83,66
5,,4921.2644601891,1104,0,gamble,5,84,66
2,,0,0,363,success,2,1,67
31,,3010.510312906,0,285,success,1,2,67
23,,1077.2568532945,0,319,success,3,3,67
6,,5247.9600780631,0,232,success,6,4,67
3,,5319.7493466449,0,326,success,3,5,67
35,,906.059236946,0,242,success,5,6,67
6,,918.715371738,0,340,success,6,7,67
34,,5189.0586943326,0,354,success,4,8,67
6,,2990.3223892884,0,349,success,6,9,67
2,,4071.7455270922,0,261,success,2,10,67
1,,5232.6257073899,0,343,success,1,11,67
25,,5175.4575079595,0,214,success,5,12,67
21,,3055.7417056012,0,349,success,1,13,67
2,,5141.8388699912,0,330,success,2,14,67
35,,5274.0483827279,0,328,success,5,15,67
35,,4850.6925134339,0,290,success,5,16,67
6,,4856.3657439163,0,260,success,6,17,67
26,,1166.5425596133,0,299,success,6,18,67
31,,895.2227339804,0,296,success,1,19,67
36,,2949.6157607059,0,288,success,6,20,67
5,,5152.2008527418,0,119,success,5,21,67
3,,0,0,335,success,3,22,67
75,,2013.2181418128,0,336,success,5,23,67
1,,4738.2900889973,0,348,success,1,24,67
4,,5189.6348707263,0,355,success,4,25,67
2,,3029.4490533723,0,311,success,2,26,67
5,,5003.6745299946,0,346,success,5,27,67
24,,1019.4176913949,0,351,success,4,28,67
1,,5047.112646537,0,347,success,1,29,67
4,,5008.9869448288,0,342,success,4,30,67
4,,4680.121123954,0,344,success,4,31,67
4,,889.6307952297,0,338,success,4,32,67
26,,4965.9784422753,0,345,success,6,33,67
3,,5020.9116519759,0,359,success,3,34,67
25,,3075.5271180636,0,339,success,5,35,67
