,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,uniqueid,viewTime
37,,6,,,,,,0,0,,0,,,,412,,success,6,,,,33,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
38,,21,,,,,,6.75,3312,,0,,,,0,,gamble,1,,,,34,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
39,,22,,,,,,2.010603696,1923,,0,,,,0,,gamble,2,,,,35,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
40,,75,,,,,,5.932208024,1803,,0,,,,0,,gamble,5,,,,36,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
41,,2,,,,,,6.75,3282,,0,,,,0,,gamble,2,,,,37,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
42,,24,,,,,,1.918534075,2756,,0,,,,0,,gamble,4,,,,38,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
43,,35,,,,,,6.75,1902,,0,,,,0,,gamble,5,,,,39,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
44,,22,,,,,,6.75,2155,,0,,,,0,,gamble,2,,,,40,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
45,,25,,,,,,4.049816763,2255,,0,,,,0,,gamble,5,,,,41,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
46,,86,,,,,,2.061280668,0,,2642,,,,417,,success,6,,,,42,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
47,,3,,,,,,1.881369058,1864,,0,,,,0,,gamble,3,,,,43,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
48,,33,,,,,,6.75,2127,,0,,,,0,,gamble,3,,,,44,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
49,,86,,,,,,3.924275154,0,,3353,,,,262,,success,6,,,,45,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
50,,23,,,,,,3.966779527,1712,,0,,,,0,,gamble,3,,,,46,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
51,,6,,,,,,6.354714527,2260,,0,,,,0,,gamble,6,,,,47,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
52,,4,,,,,,0,0,,0,,,,469,,success,4,,,,48,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
53,,5,,,,,,1.810587552,2154,,0,,,,0,,gamble,5,,,,49,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
54,,34,,,,,,3.934749765,2032,,0,,,,0,,gamble,4,,,,50,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
55,,2,,,,,,0,0,,0,,,,393,,success,2,,,,51,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
56,,6,,,,,,0,0,,0,,,,356,,success,6,,,,52,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
57,,4,,,,,,1.995843152,2041,,0,,,,0,,gamble,4,,,,53,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
58,,4,,,,,,0,0,,0,,,,333,,success,4,,,,54,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
59,,34,,,,,,6.75,1965,,0,,,,0,,gamble,4,,,,55,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
60,,34,,,,,,6.310413652,2022,,0,,,,0,,gamble,4,,,,56,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
61,,3,,,,,,3.936862356,4335,,0,,,,0,,gamble,3,,,,57,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
62,,1,,,,,,6.75,1942,,0,,,,0,,gamble,1,,,,58,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
63,,1,,,,,,0,0,,0,,,,284,,success,1,,,,59,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
64,,31,,,,,,6.238473058,2464,,0,,,,0,,gamble,1,,,,60,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
65,,1,,,,,,1.903052165,1729,,0,,,,0,,gamble,1,,,,61,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
66,,2,,,,,,1.915169004,1449,,0,,,,0,,gamble,2,,,,62,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
67,,24,,,,,,4.001071412,4352,,0,,,,0,,gamble,4,,,,63,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
68,,75,,,,,,1.996613703,0,,8569,,,,364,,success,5,,,,64,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
69,,36,,,,,,6.294257928,1839,,0,,,,0,,gamble,6,,,,65,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
70,,23,,,,,,2.01948349,2394,,0,,,,0,,gamble,3,,,,66,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
71,,33,,,,,,1.919387154,1913,,0,,,,0,,gamble,3,,,,67,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
72,,2,,,,,,0,0,,0,,,,395,,success,2,,,,68,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
73,,36,,,,,,6.75,1826,,0,,,,0,,gamble,6,,,,69,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
74,,35,,,,,,1.927871902,1997,,0,,,,0,,gamble,5,,,,70,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
75,,32,,,,,,1.961971681,1880,,0,,,,0,,gamble,2,,,,71,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
76,,25,,,,,,6.75,2863,,0,,,,0,,gamble,5,,,,72,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
77,,5,,,,,,2.137981701,2105,,0,,,,0,,gamble,5,,,,73,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
78,,33,,,,,,6.320182733,1824,,0,,,,0,,gamble,3,,,,74,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
79,,34,,,,,,1.795962959,1726,,0,,,,0,,gamble,4,,,,75,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
80,,31,,,,,,3.930774984,3916,,0,,,,0,,gamble,1,,,,76,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
81,,23,,,,,,6.422437166,1939,,0,,,,0,,gamble,3,,,,77,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
82,,24,,,,,,6.75,1573,,0,,,,0,,gamble,4,,,,78,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
83,,21,,,,,,3.989601897,6578,,0,,,,0,,gamble,1,,,,79,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
84,,33,,,,,,6.280837341,1855,,0,,,,0,,gamble,3,,,,80,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
85,,21,,,,,,6.093869241,1661,,0,,,,0,,gamble,1,,,,81,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
86,,3,,,,,,6.75,12901,,0,,,,0,,gamble,3,,,,82,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
87,,,Begin,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
88,,,NextPage,,,,,,,,,0,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,5510
89,,,NextPage,,,,,,,,,1,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,18994
90,,,NextPage,,,,,,,,,2,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,20967
91,,,PrevPage,,,,,,,,,3,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,101764
92,,,NextPage,,,,,,,,,2,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,40177
93,,,PrevPage,,,,,,,,,3,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,6354
94,,,NextPage,,,,,,,,,2,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,12921
95,,,FinishInstructions,,,,,,,,,3,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,17320
96,,32,,,,,,6.216070757,0,,2474,,,,403,,success,2,,,,1,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
97,,22,,,,,,6.75,0,,1882,,,,69,,success,2,,,,2,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
