4	AB774I47XHB4K	3LWJHTCVCCM6O5ZIH0YGCU7UMPEFQ8
2	A2PEGQIOLNS672	3E4GGUZ1T8R0C8PBG0ZCWP1WEFH2KJ
4	A39XIQCFSCNHFU	3O6CYIULED10RKSUOYSLQJQJKD9UWP
2	A1BQCRF5Q76YFY	3DHE4R9OCWBVAMTSQ9EXYX937Y02GG
2	A3RBA581BHJDR8	30ZX6P7VF8V51OJTYFZ0VA1JZQH2JK
2	A3Q47PJX8J1J67	3OE22WJIGIOV7NW8CPTFYU8XWCSUQL
2	A3Q47PJX8J1J67	3OE22WJIGIOV7NW8CPTFYU8XWCSUQL
2	AWCO7MG0BHSTQ	3WYP994K17RJEEXT7HC6VAXJSZRY6Q
2	A2FBT0BSFOV91D	3JPSL1DZ5SZQPH5IQSK7UZ1YKYEAN3
2	A3ID92163E50LV	3KYQYYSHYV765986BHBMZP99VBGDON
2	A2LCOTUKCDULAA	3ATPCQ38J8AK1G9WXUTIBFZ5OILYAK
2	AFOSHFLRNELUY	3GD6L00D3SXODB7II8CE6JJVBEZ1M7
4	A272X64FOZFYLB	32EYX73OY09VJOB8P4IF3KI2SYUURM
2	A151KMOIWXADOJ	374TNBHA8BVCOWGDMQQ41FEAS08QYK
2	A1FP3SH704X01V	34FNN24DCM9NVAXF2Y2134JJW4GY5A
2	A11UBOE8N877JJ	3ZWFC4W1UU7606EIUFNGHKHZIBGFR9
2	AROOCBM042SJD	3N4BPTXIO8S9WKYDZK9I28WOX60UKT
4	A5A01SUHY8BEX	3PS7W85Z8Z2AFB0XVISJ73W63YPT9F
4	A2ZJAEL03VTZ8	3GNCZX450INQS2HV67XZYO6TKDFAPZ
2	AJXIC6Q5EM76P	3DUZQ9U6SMO7XI0L9JSPPGPHS7RVS5
2	AQM940W1VBAG6	35H6S234SA0LCQN9WF79KDZQXUO65J
0	A1ALU9NOW3R98V	3M0NZ3JDP1YN007KYK4KHBSL2YL5Z9
2	A279YSE7NB16M0	3MMN5BL1WZ4KNELX5CQXUCYS9YCM3J
2	A2V35L3RIRYYXV	3NC5L260MOM33TM22N6CNPCU7OWFO0
2	A2ZRXNYIRVSC9V	3LUY3GC63Z0890JXZ4LFOX43J597P5
2	AEDJXOPWQULR4	3I02618YA06A7BVTCCEQYPINRG6UPU
0	A3GPM3SMQT5SNQ	3HYA4D452RJPWMXXFP8FGC9R6J02FH
0	A3VTW0XT1KY8GD	3E1QT0TDFP9KSS1CWEN1T0ZM8BKI8R
2	A1EBVJWBNNPUFU	3G2UL9A02DE0ZU1SK8M6IXDMO0J67Y
2	A29TARXV9BFOP5	3X08E93BHVIHVUNN1YHECJDQTPZ66Z
2	A30KYQGABO7JER	3W92K5RLWUH6RG2AXNFHW5FPENF5V9
4	ACN0C9HPYDTED	369J354OFDAJSNCTDBQ0OAQFN32G6B
2	A1I72NHC21347A	3EJPLAJKEMGJJ47Y33EP9H6LYUU6ZQ
2	A3UV55HC87DO9C	30X31N5D63QN5UXNYO1TTTB47XMASF
4	A8FLNGDLNJCUU	3GFK2QRXX9HJ652FNXKDI7Y3LWH5WJ
2	A1QVNF19XSRSD7	308XBLVESI4GNP22PD1KYUQE3ETRBA
2	A1NRIT5DE3TBID	3R3YRB5GRF33K7PRNTWT8UTSSVDAU3
2	A2V27A9GZA1NR2	35H6S234SA0LCQN9WF79KDZQXVU65R
0	A25KM3PUOUZFN1	3R3YRB5GRF33K7PRNTWT8UTSSV8UAI
0	A1JWEKRBLSPL8S	3B4YI393V9WR5QJHFONKET5AT4XSSZ
2	AAXX5LDVJ32F8	39LOEL67OS552PJTBBGEPUXXPUX38O
2	A34DR0CVUBDL1N	3C6FJU71TQT4GPNU3ZA9BGBZVL9UYO
4	AYPOAY43REHC8	3J2UYBXQQLCMHJ18Z91X3I3ZGMD60Y
2	A10VYQMVSHNFCV	3FFJ6VRIL1O2A3W91AAM0LT4PF3I03
2	A3I2SQVNFNOIVE	3KB8R4ZV1E7PYZTO9278ZQC716NGBA
2	AHCEA7VNUIMY2	31LVTDXBL7AS0YOEGQQECXMJF98LRU
2	A2GZ00IMOT6L3X	3IFS6Q0HJIJ2BCGLACT6ARZNL8BSIS
2	A58QOLDFC179Q	3DR23U6WE5ERA7RE3T85ZHXHUX8TEW
2	A6MWJK1YEY5L2	30LSNF239UV96DZNGXE0J9MJMDPI2P
4	A3302168IZJTMX	3QBD8R3Z21JT5DPDI6ATWLF3J22O49
