,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,indexOf,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,uniqueid,viewTime
0,,,Begin,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,debugWSPDNF:debug0J0J69,
1,,,NextPage,,,,,,,0.0,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,debugWSPDNF:debug0J0J69,1040.0
2,,,NextPage,,,,,,,1.0,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,debugWSPDNF:debug0J0J69,1315.0
3,,,NextPage,,,,,,,2.0,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,debugWSPDNF:debug0J0J69,1526.0
4,,,FinishInstructions,,,,,,,3.0,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,debugWSPDNF:debug0J0J69,914.0
38,,32.0,,,,,,4344.0801697450715,861.0,,,0.0,,gamble,2,,,,18.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
39,,6.0,,,,,,0.0,0.0,,,433.0,,success,6,,,,19.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
40,,21.0,,,,,,1883.7231602774837,0.0,,,476.0,,success,1,,,,20.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
41,,2.0,,,,,,0.0,0.0,,,406.0,,success,2,,,,21.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
42,,32.0,,,,,,6750.0,595.0,,,0.0,,gamble,2,,,,22.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
43,,34.0,,,,,,6750.0,0.0,,,0.0,,earlyFail,4,,,,23.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
44,,23.0,,,,,,1862.0231475757028,0.0,,,443.0,,success,3,,,,24.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
45,,25.0,,,,,,6750.0,0.0,,,713.0,,success,5,,,,25.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
46,,24.0,,,,,,6579.331358497931,0.0,,,47.0,,success,4,,,,26.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
47,,31.0,,,,,,4175.961245828747,0.0,,,0.0,,earlyFail,1,,,,27.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
48,,4.0,,,,,,1750.2137124679846,0.0,,,484.0,,success,4,,,,28.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
49,,33.0,,,,,,6750.0,0.0,,,0.0,,fail,3,,,,29.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
50,,2.0,,,,,,4297.837410367675,0.0,,,0.0,,earlyFail,2,,,,30.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
51,,5.0,,,,,,0.0,0.0,,,403.0,,success,5,,,,31.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
52,,1.0,,,,,,0.0,0.0,,,428.0,,success,1,,,,32.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
53,,34.0,,,,,,4193.138278812144,547.0,,,0.0,,gamble,4,,,,33.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
54,,1.0,,,,,,4311.05406282491,573.0,,,0.0,,gamble,1,,,,34.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
55,,35.0,,,,,,1773.4511650769334,929.0,,,0.0,,gamble,5,,,,35.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
56,,1.0,,,,,,6750.0,663.0,,,0.0,,gamble,1,,,,36.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
57,,1.0,,,,,,0.0,0.0,,,412.0,,success,1,,,,37.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
58,,6.0,,,,,,0.0,0.0,,,517.0,,success,6,,,,38.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
59,,25.0,,,,,,1768.9854199275767,0.0,,,607.0,,success,5,,,,39.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
60,,6.0,,,,,,4301.93886841507,0.0,,,0.0,,earlyFail,6,,,,40.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
61,,23.0,,,,,,6750.0,791.0,,,0.0,,gamble,3,,,,41.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
62,,3.0,,,,,,1764.129553798596,0.0,,,467.0,,success,3,,,,42.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
63,,24.0,,,,,,1686.493490601027,0.0,,,430.0,,success,4,,,,43.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
64,,24.0,,,,,,4307.39183848473,0.0,,,633.0,,success,4,,,,44.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
65,,26.0,,,,,,4276.105685145341,0.0,,,457.0,,success,6,,,,45.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
