,BonusAmount,Trialid,action,comments,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,length,outcomeRT,pbGamble,phase,recordedPresses,recordedTimes,response,standardGamble,status,switchTimes,template,templates,trialNumber,understand,uniqueid,viewTime
6871,,22,,,,,,,2228.164099,0,,,,,,364,36,,",jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",759,1479,2263,3047,3863,4647,5335,5991,6438,6503",success,2,,",663,61,175,139,206,158,76,542",,,130,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6872,,24,,,,,,,1722.197777,0,,,,,,222,24,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",903,1558,2312,2983,3671,4343,5144,5847",success,4,,",791,45,94,79,45,78,157,78",,,131,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6873,,35,,,,,,,1336.008478,1304,,,,,,638,12,,",jkey,fkey,jkey,fkey,jkey,space,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",775,1159,1847,2679,3351,3799,4167,4584,5319,6087,6375,6903,7095",gamble,5,,",1031,110,174,79,588,125,125,398",,,132,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6874,,24,,,,,,,4220.934925,0,,,,,,509,60,,",fkey,jkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",854,1558,2262,2567,3254,3990,4759,5511,6231",success,4,,",759,77,349,111,77,159,94,109",,,133,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6875,,28,,,,,,,2939.811614,0,,,,,,494,36,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",967,1719,2487,3254,4231,4951,5783,6536",success,8,,",839,174,126,142,334,126,158,157",,,134,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6876,,35,,,,,,,3894.697576,666,,,,,,301,60,,",jkey,fkey,jkey,fkey,jkey,space,fkey,jkey,fkey",",839,1576,2311,3143,3879,5479,5911,6407,7128",gamble,5,,",759,62,126,189,140,173,1103,62",,,135,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6877,,5,,,,,,,2613.8337,0,,,,,,316,36,,",jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",743,1527,2247,3096,3847,4583,5304,6088",success,5,,",663,92,126,206,126,94,125,143",,,136,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6878,,1,,,,,,,2875.388904,0,,,,,,574,48,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",838,1558,2278,3078,3830,4598,5398,6118",success,1,,",742,109,62,190,94,174,142,110",,,137,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6879,,34,,,,,,,2680.122217,1080,,,,,,332,36,,",jkey,fkey,jkey,fkey,jkey,space,fkey,jkey,fkey",",727,1431,2215,3031,3767,4519,4791,5543,6215",gamble,4,,",615,61,190,157,125,380,126,46",,,138,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6880,,32,,,,,,,2443.604318,0,,,,,,238,36,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",887,1590,2407,3174,4054,4775,5575,6247",success,2,,",776,76,173,159,221,125,143,62",,,139,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
