Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
24,,6224.833328,961,0,gamble,4,12,231
35,,6248.654416,874,0,gamble,5,13,231
25,,3164.032426,0,367,success,5,14,231
5,,3022.524016,0,0,earlyFail,5,15,231
22,,6165.865674,0,215,success,2,16,231
2,,0,0,432,success,2,17,231
5,,0,0,0,fail,5,18,231
25,,6176.993045,0,88,success,5,19,231
36,,840.935426,0,0,earlyFail,6,20,231
33,,5145.393749,0,0,earlyFail,3,21,231
26,,4929.094936,0,132,success,6,22,231
24,,967.8712427,0,266,success,4,23,231
35,,6006.774302,853,0,gamble,5,24,231
1,,5679.221101,0,301,success,1,25,231
23,,5846.397622,0,228,success,3,26,231
4,,963.5144208,0,344,success,4,27,231
6,,1027.120928,0,0,earlyFail,6,28,231
3,,0,0,327,success,3,29,231
21,,6188.570974,0,172,success,1,30,231
6,,5977.362267,655,0,gamble,6,31,231
3,,2966.96736,0,251,success,3,32,231
3,,6171.837299,0,246,success,3,33,231
22,,1032.235808,0,308,success,2,34,231
3,,0,0,280,success,3,35,231
2,,5832.481153,0,108,success,2,36,231
3,,6242.935294,0,289,success,3,37,231
23,,5773.888932,0,266,success,3,38,231
23,,3013.582288,0,152,success,3,39,231
3,,943.8715906,864,0,gamble,3,40,231
21,,5793.461813,0,296,success,1,41,231
5,,1001.442602,716,0,gamble,5,42,231
34,,2903.581302,694,0,gamble,4,43,231
36,,6074.883379,650,0,gamble,6,44,231
31,,967.4482726,0,273,success,1,45,231
32,,1011.046898,0,116,success,2,46,231
4,,3084.410048,774,0,gamble,4,47,231
22,,2946.386361,0,150,success,2,48,231
24,,5648.074182,0,110,success,4,49,231
23,,6344.432727,0,102,success,3,50,231
31,,2882.580865,0,111,success,1,51,231
34,,6032.211448,700,0,gamble,4,52,231
23,,1120.063294,0,223,success,3,53,231
33,,4664.427779,582,0,gamble,3,54,231
24,,5847.525398,0,126,success,4,55,231
34,,6201.169171,626,0,gamble,4,56,231
26,,1061.651074,0,206,success,6,57,231
31,,4813.60489,0,171,success,1,58,231
24,,3003.118601,0,94,success,4,59,231
5,,6273.22406,653,0,gamble,5,60,231
75,,1971.392235,0,240,success,5,61,231
26,,3023.032621,0,109,success,6,62,231
22,,5822.639253,0,127,success,2,63,231
6,,3053.71675,766,0,gamble,6,64,231
32,,3028.546688,0,263,success,2,65,231
6,,5844.809281,612,0,gamble,6,66,231
4,,0,0,556,success,4,67,231
2,,4000.324981,0,102,success,2,68,231
25,,4641.54112,0,148,success,5,69,231
31,,5004.058469,0,41,success,1,70,231
21,,6138.07656,0,217,success,1,71,231
33,,911.6448668,816,0,gamble,3,72,231
33,,5194.634415,711,0,gamble,3,73,231
32,,4921.099484,0,0,earlyFail,2,74,231
5,,0,0,189,success,5,75,231
21,,1030.447869,0,183,success,1,76,231
2,,5796.887346,0,138,success,2,77,231
1,,1056.00777,0,162,success,1,78,231
4,,0,0,199,success,4,79,231
34,,1150.303578,809,0,gamble,4,80,231
4,,5948.160048,0,171,success,4,81,231
1,,2951.88376,0,127,success,1,82,231
1,,6063.242585,0,98,success,1,83,231
36,,3144.176653,916,0,gamble,6,84,231
35,,1017.426292,986,0,gamble,5,85,231
5,,5606.221627,0,0,earlyFail,5,86,231
36,,5982.792254,632,0,gamble,6,87,231
1,,0,0,278,success,1,88,231
4,,6319.902195,0,169,success,4,89,231
2,,3152.172307,0,56,success,2,90,231
2,,0,0,0,earlyFail,2,91,231
1,,6284.450862,0,93,success,1,92,231
2,,929.8089849,0,196,success,2,93,231
25,,955.2016225,0,92,success,5,94,231
32,,4702.000344,0,79,success,2,95,231
6,,0,0,256,success,6,96,231
4,,5754.785337,0,163,success,4,97,231
36,,5901.420388,726,0,gamble,6,98,231
6,,6411.645479,0,254,success,6,99,231
25,,5013.545435,0,97,success,5,100,231
5,,5924.273653,0,93,success,5,101,231
26,,6127.534683,0,83,success,6,102,231
33,,2965.79384,971,0,gamble,3,103,231
31,,6141.875524,0,284,success,1,104,231
32,2202546,5314.109883,0,136,success,2,105,231
5,,5651.82607,0,134,success,5,1,232
2,,2987.287977,0,308,success,2,2,232
22,,6320.310745,0,285,success,2,3,232
35,,5684.195732,0,264,success,5,4,232
5,,0,0,329,success,5,5,232
6,,0,0,207,success,6,6,232
3,,1064.618455,0,329,success,3,7,232
34,,5993.329316,0,344,success,4,8,232
33,,1036.520981,0,356,success,3,9,232
36,,1007.559807,0,288,success,6,10,232
1,,6212.203228,0,238,success,1,11,232
31,,2974.659925,0,302,success,1,12,232
32,,1007.619109,0,144,success,2,13,232
21,,936.6080124,0,280,success,1,14,232
1,,0,0,319,success,1,15,232
32,,4853.118032,0,290,success,2,16,232
31,,1024.072069,0,125,success,1,17,232
1,,0,0,341,success,1,18,232
24,,6325.794348,0,229,success,4,19,232
21,,6178.708336,0,0,earlyFail,1,20,232
24,,2818.37852,0,335,success,4,21,232
6,,0,0,298,success,6,22,232
