,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,uniqueid,viewTime
3851,,34.0,,,,,,6.29402088639144,2583.0,,0.0,,,,,0.0,,gamble,4,,,,52.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3852,,1.0,,,,,,6.334513667014063,0.0,,1791.0,,,,,535.0,,success,1,,,,53.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3853,,6.0,,,,,,1.9691698806282403,0.0,,3517.0,,,,,769.0,,success,6,,,,54.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3854,,23.0,,,,,,3.8543520849250807,0.0,,1679.0,,,,,334.0,,success,3,,,,55.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3855,,4.0,,,,,,4.110276779754777,0.0,,1689.0,,,,,558.0,,success,4,,,,56.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3856,,23.0,,,,,,7.100790551080799,0.0,,1345.0,,,,,652.0,,success,3,,,,57.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3857,,4.0,,,,,,0.0,0.0,,1345.0,,,,,621.0,,success,4,,,,58.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3858,,33.0,,,,,,1.8729147380293283,0.0,,2973.0,,,,,0.0,,fail,3,,,,59.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3859,,32.0,,,,,,4.120815276168958,0.0,,1693.0,,,,,530.0,,success,2,,,,60.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3860,,1.0,,,,,,7.354439002396687,0.0,,1411.0,,,,,755.0,,success,1,,,,61.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
