,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,uniqueid,viewTime
3861,,26.0,,,,,,2.075714581262189,2010.0,,0.0,,,,,0.0,,gamble,6,,,,62.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3862,,5.0,,,,,,1.9938764007410952,2970.0,,0.0,,,,,0.0,,gamble,5,,,,63.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3863,,6.0,,,,,,0.0,0.0,,0.0,,,,,0.0,,fail,6,,,,64.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3864,,6.0,,,,,,4.010078671687674,0.0,,2012.0,,,,,234.0,,success,6,,,,65.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3865,,36.0,,,,,,4.142657151853387,2942.0,,0.0,,,,,0.0,,gamble,6,,,,66.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3866,,5.0,,,,,,7.232640098389803,0.0,,1845.0,,,,,537.0,,success,5,,,,67.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3867,,36.0,,,,,,4.071963856149198,2013.0,,0.0,,,,,0.0,,gamble,6,,,,68.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3868,,3.0,,,,,,6.3437407071778456,0.0,,1823.0,,,,,552.0,,success,3,,,,69.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3869,,32.0,,,,,,4.122454006476484,0.0,,1563.0,,,,,562.0,,success,2,,,,70.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
3870,,35.0,,,,,,7.343995257136052,1814.0,,0.0,,,,,0.0,,gamble,5,,,,71.0,APVWMP5952IOY:3VJ40NV2QINDMY43X7B14TRWBA2OTK,
