Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
26,,4887.885076,0,296,success,6,27,202
1,,5600,0,240,success,1,28,202
1,,0,0,345,success,1,29,202
5,,1004.048426,0,321,success,5,30,202
33,,5044.296056,611,0,gamble,3,31,202
4,,5600,0,321,success,4,32,202
1,,2947.490011,0,282,success,1,33,202
3,,2909.149889,0,271,success,3,34,202
31,,5600,641,0,gamble,1,35,202
32,,1108.167737,731,0,gamble,2,36,202
31,,4901.089835,373,0,gamble,1,37,202
21,,5600,0,313,success,1,38,202
6,,0,0,283,success,6,39,202
4,,2925.263756,0,300,success,4,40,202
26,,3003.475998,0,271,success,6,41,202
75,,1858.89116,737,0,gamble,5,42,202
34,,5600,654,0,gamble,4,43,202
25,,4598.628578,0,299,success,5,44,202
3,,5600,0,306,success,3,45,202
5,,5600,0,311,success,5,46,202
22,,1019.753482,0,303,success,2,47,202
2,,5600,0,251,success,2,48,202
32,,5387.479613,562,0,gamble,2,49,202
22,,5600,0,250,success,2,50,202
25,,5600,0,69,success,5,51,202
34,,5600,581,0,gamble,4,52,202
4,,5600,0,344,success,4,53,202
22,,3139.90014,0,295,success,2,54,202
4,,1010.50794,0,293,success,4,55,202
24,,870.7995383,0,277,success,4,56,202
21,,936.7688031,0,299,success,1,57,202
31,,2990.078152,564,0,gamble,1,58,202
21,,3050.705826,0,236,success,1,59,202
23,,1007.111674,0,294,success,3,60,202
35,,5600,587,0,gamble,5,61,202
36,,5600,709,0,gamble,6,62,202
24,,5600,0,297,success,4,63,202
36,,5600,582,0,gamble,6,64,202
26,,4777.649095,0,293,success,6,65,202
2,,2933.673286,0,314,success,2,66,202
24,,2972.440502,0,310,success,4,67,202
2,,5600,0,315,success,2,68,202
23,,5600,0,271,success,3,69,202
32,,5226.663447,547,0,gamble,2,70,202
35,,3095.47362,588,0,gamble,5,71,202
6,,5600,0,337,success,6,72,202
21,,5600,0,349,success,1,73,202
22,,5600,0,313,success,2,74,202
2,,0,0,322,success,2,75,202
2,,5600,0,306,success,2,76,202
5,,5600,0,283,success,5,77,202
3,,5600,0,290,success,3,78,202
36,,5600,677,0,gamble,6,79,202
32,,3071.828967,649,0,gamble,2,80,202
34,,2951.510672,589,0,gamble,4,81,202
1,,5600,0,324,success,1,82,202
35,,1020.286626,834,0,gamble,5,83,202
36,,2968.025808,606,0,gamble,6,84,202
25,,4953.224827,0,345,success,5,85,202
6,,1008.844841,0,331,success,6,86,202
3,,0,0,275,success,3,87,202
6,,2982.931438,0,186,success,6,88,202
6,,0,0,324,success,6,89,202
2,,1043.189007,0,316,success,2,90,202
5,,0,0,326,success,5,91,202
22,,5600,0,302,success,2,92,202
34,,5600,560,0,gamble,4,93,202
31,,4860.588402,591,0,gamble,1,94,202
23,,3026.706212,0,311,success,3,95,202
4,,0,0,314,success,4,96,202
33,,4631.487167,529,0,gamble,3,97,202
31,,916.6284408,861,0,gamble,1,98,202
36,,936.6218893,883,0,gamble,6,99,202
35,,5600,553,0,gamble,5,100,202
3,,940.9349188,0,314,success,3,101,202
1,,5600,0,339,success,1,102,202
33,,5188.633797,580,0,gamble,3,103,202
5,,0,0,361,success,5,104,202
24,1592438,5600,0,319,success,4,105,202
33,,834.2332841,781,0,gamble,3,1,203
2,,0,0,129,success,2,2,203
25,,5600,0,170,success,5,3,203
26,,959.6563947,0,244,success,6,4,203
33,,5271.415249,610,0,gamble,3,5,203
21,,3001.445144,0,137,success,1,6,203
3,,5600,0,136,success,3,7,203
36,,952.8872219,0,119,success,6,8,203
3,,1000.946743,0,146,success,3,9,203
32,,3053.206431,661,0,gamble,2,10,203
31,,4762.487204,0,148,success,1,11,203
1,,5600,0,249,success,1,12,203
6,,5600,0,208,success,6,13,203
35,,3022.996824,661,0,gamble,5,14,203
26,,4799.664947,0,358,success,6,15,203
6,,3029.779097,0,206,success,6,16,203
22,,5600,0,283,success,2,17,203
21,,1008.205222,0,286,success,1,18,203
36,,3124.583731,563,0,gamble,6,19,203
24,,2907.662093,0,212,success,4,20,203
2,,1069.582459,0,416,success,2,21,203
86,,1939.363456,0,329,success,6,22,203
6,,5600,0,171,success,6,23,203
21,,5600,0,0,earlyFail,1,24,203
5,,5600,0,179,success,5,25,203
35,,5600,610,0,gamble,5,26,203
6,,0,0,174,success,6,27,203
35,,984.4181217,666,0,gamble,5,28,203
2,,5600,0,209,success,2,29,203
25,,4787.371166,0,126,success,5,30,203
21,,5600,0,150,success,1,31,203
5,,0,0,149,success,5,32,203
24,,5600,0,130,success,4,33,203
4,,0,0,177,success,4,34,203
32,,5001.738093,628,0,gamble,2,35,203
1,,2909.717472,0,94,success,1,36,203
2,,4008.912445,0,143,success,2,37,203
2,,0,0,152,success,2,38,203
26,,5161.3066,0,150,success,6,39,203
3,,0,0,252,success,3,40,203
32,,4742.558191,646,0,gamble,2,41,203
26,,3034.110667,0,69,success,6,42,203
35,,5600,633,0,gamble,5,43,203
34,,5600,659,0,gamble,4,44,203
